id,vote,name,party, Energy and Water Development, Financial Services and General Government, Interior, Environment, Military Construction, Veterans Affairs, Transportation, and Housing a
83,10,Nay,"Rep. Michael McCaul [R, 2005-2024]",Republican,,,,,,,
84,28,Yea,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,,,,,,
85,5,Nay,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,,,,,,
86,4,Yea,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,
87,6,Yea,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,
88,7,Yea,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,,,,,,
89,8,Yea,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,
90,9,Yea,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,
91,23,Nay,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,
92,5,Nay,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,
93,7,Yea,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,
94,2,Yea,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,
95,14,Yea,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,
96,16,Nay,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,
97,4,Yea,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,
98,3,Yea,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,
99,3,Yea,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,
100,7,Nay,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,
101,3,Nay,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,
102,9,Yea,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,,,,,,
103,4,Not Voting,"Rep. Jim Jordan [R, 2007-2024]",Republican,,,,,,,
104,9,Yea,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,,,,,,
105,0,Yea,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,,,,
106,12,Nay,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,,,,,,
107,1,Nay,"Rep. Robert Wittman [R, 2007-2024]",Republican,,,,,,,
108,5,Nay,"Rep. Robert Latta [R, 2007-2024]",Republican,,,,,,,
109,11,Yea,"Rep. Bill Foster [D, 2013-2024]",Democrat,,,,,,,
110,7,Yea,"Rep. André Carson [D, 2008-2024]",Democrat,,,,,,,
111,14,Yea,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,,,,,,
112,1,Nay,"Rep. Steve Scalise [R, 2008-2024]",Republican,,,,,,,
113,11,Yea,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,,,,,,
114,2,Nay,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,,,,,,
115,4,Yea,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,,,,,,
116,2,Yea,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,,,,,,
117,3,Nay,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,,,,,,
118,4,Nay,"Rep. Tom McClintock [R, 2009-2022]",Republican,,,,,,,
119,1,Yea,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,
120,8,Nay,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,
121,5,Yea,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,
122,15,Nay,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,
123,1,Yea,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,
124,20,Yea,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,
125,5,Yea,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,
126,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,
127,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,
128,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,
129,23,Nay,"Rep. Tom Reed [R, 2013-2022]",Republican,,,,,,,
130,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,
131,7,Yea,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,
132,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,
133,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,
134,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,
135,3,Nay,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,
136,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,
137,11,Nay,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,
138,24,Yea,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,
139,8,Nay,"Rep. Austin Scott [R, 2011-2024]",Republican,,,,,,,
140,16,Nay,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,,,,,,
141,8,Nay,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,,,,,,
142,1,Nay,"Rep. Andy Harris [R, 2011-2024]",Republican,,,,,,,
143,9,Yea,"Rep. William R. Keating [D, 2013-2024]",Democrat,,,,,,,
144,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,,,,,,
145,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,
146,4,Nay,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,
147,7,Nay,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,
148,6,Nay,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,
149,7,Nay,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,
150,16,Nay,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,
151,1,Yea,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,
152,3,Nay,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,
153,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,
154,4,Nay,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,
155,9,Nay,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,
156,3,Nay,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,
157,1,Nay,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,
158,2,Nay,"Rep. Mark Amodei [R, 2011-2024]",Republican,,,,,,,
159,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,,,,,,
160,4,Nay,"Rep. Thomas Massie [R, 2012-2024]",Republican,,,,,,,
161,1,Yea,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,,,,,,
162,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,,,,,,
163,1,Nay,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,,,,,,
164,2,Yea,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,,,,,,
165,7,Yea,"Rep. Ami Bera [D, 2013-2022]",Democrat,,,,,,,
166,15,Yea,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,,,,,,
167,21,Nay,"Rep. David Valadao [R, 2021-2022]",Republican,,,,,,,
168,26,Yea,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,,,,,,
169,29,Yea,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,,,,,,
170,36,Yea,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,,,,,,
171,41,Yea,"Rep. Mark Takano [D, 2013-2022]",Democrat,,,,,,,
172,47,Yea,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,,,,,,
173,51,Yea,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,,,,,,
174,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat,,,,,,,
175,21,Yea,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,,,,,,
176,10,Yea,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,,,,,,
177,13,Nay,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,,,,
178,17,Yea,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,,,,,
179,2,Nay,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,,,,,
180,6,Nay,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,,,,,
181,5,Yea,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,,,,,
182,2,Nay,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,,,,,
183,8,Nay,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,,,,,
184,2,Yea,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,,,,,
185,4,Yea,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,,,,,
186,6,Yea,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,,,,,
187,8,Yea,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,,,,,
188,18,Yea,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,,,,,
189,2,Nay,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,,,,,
190,3,Yea,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,,,,,
191,14,Nay,"Rep. David Joyce [R, 2013-2024]",Republican,,,,,,,
192,2,Nay,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,,,,,
193,10,Nay,"Rep. Scott Perry [R, 2019-2024]",Republican,,,,,,,
194,8,Yea,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,,,,,
195,7,Nay,"Rep. Tom Rice [R, 2013-2022]",Republican,,,,,,,
196,14,Nay,"Rep. Randy Weber [R, 2013-2024]",Republican,,,,,,,
197,20,Yea,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,,,,,
198,25,Nay,"Rep. Roger Williams [R, 2013-2024]",Republican,,,,,,,
199,33,Yea,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,,,,,
200,34,Yea,"Rep. Filemon Vela [D, 2013-2022]",Democrat,,,,,,,
201,2,Nay,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,
202,6,Yea,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,,,,,
203,2,Yea,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,,,,,
204,2,Yea,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,,,,,
205,8,Nay,"Rep. Jason Smith [R, 2013-2024]",Republican,,,,,,,
206,5,Yea,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,,,,,
207,1,Yea,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,,,,,
208,12,Yea,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,,,,,
209,6,Nay,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,,,,,
210,2,Nay,"Rep. French Hill [R, 2015-2024]",Republican,,,,,,,
211,4,Nay,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,,,,,
212,7,Yea,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,,,,,
213,11,Yea,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,,,,,
214,31,Yea,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,,,,,
215,33,Yea,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,,,,,
216,35,Yea,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,,,,,
217,4,Nay,"Rep. Ken Buck [R, 2015-2024]",Republican,,,,,,,
218,1,Nay,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,,,,,,
219,10,Nay,"Rep. Jody Hice [R, 2015-2022]",Republican,,,,,,,
220,11,Nay,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,,,,,,
221,12,Nay,"Rep. Rick Allen [R, 2015-2024]",Republican,,,,,,,
222,12,Nay,"Rep. Mike Bost [R, 2015-2024]",Republican,,,,,,,
223,6,Nay,"Rep. Garret Graves [R, 2015-2024]",Republican,,,,,,,
224,6,Yea,"Rep. Seth Moulton [D, 2015-2024]",Democrat,,,,,,,
225,4,Nay,"Rep. John Moolenaar [R, 2015-2022]",Republican,,,,,,,
226,12,Yea,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,,,,,,,
227,14,Yea,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,,,,,,,
228,6,Nay,"Rep. Tom Emmer [R, 2015-2024]",Republican,,,,,,,
229,7,Not Voting,"Rep. David Rouzer [R, 2015-2024]",Republican,,,,,,,
230,12,Yea,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,,,,,,,
231,1,Nay,"Rep. Lee Zeldin [R, 2015-2022]",Republican,,,,,,,
232,4,Yea,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,,,,,,,
233,21,Nay,"Rep. Elise Stefanik [R, 2015-2024]",Republican,,,,,,,
234,24,Nay,"Rep. John Katko [R, 2015-2022]",Republican,,,,,,,
235,2,Yea,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,,,,,,,
236,36,Nay,"Rep. Brian Babin [R, 2015-2024]",Republican,,,,,,,
237,8,Yea,"Rep. Donald Beyer [D, 2015-2024]",Democrat,,,,,,,
238,4,Nay,"Rep. Dan Newhouse [R, 2015-2024]",Republican,,,,,,,
239,6,Nay,"Rep. Glenn Grothman [R, 2015-2024]",Republican,,,,,,,
240,2,Nay,"Rep. Alexander Mooney [R, 2015-2024]",Republican,,,,,,,
241,1,Nay,"Rep. Trent Kelly [R, 2015-2024]",Republican,,,,,,,
242,18,Nay,"Rep. Darin LaHood [R, 2015-2022]",Republican,,,,,,,
243,8,Nay,"Rep. Warren Davidson [R, 2016-2024]",Republican,,,,,,,
244,1,Nay,"Rep. James Comer [R, 2016-2024]",Republican,,,,,,,
245,3,Yea,"Rep. Dwight Evans [D, 2019-2024]",Democrat,,,,,,,
246,1,Yea,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,,,,,,,
247,5,Nay,"Rep. Andy Biggs [R, 2017-2024]",Republican,,,,,,,
248,17,Yea,"Rep. Ro Khanna [D, 2017-2024]",Democrat,,,,,,,
249,20,Yea,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat,,,,,,,
250,24,Yea,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,,,,,,,
251,44,Yea,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,,,,,,,
252,46,Yea,"Rep. Luis Correa [D, 2017-2024]",Democrat,,,,,,,
253,0,Yea,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,,,,,,,
254,1,Nay,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,,,,,,
255,2,Nay,"Rep. Neal Dunn [R, 2017-2024]",Republican,,,,,,,
256,4,Nay,"Rep. John Rutherford [R, 2017-2022]",Republican,,,,,,,
257,5,Yea,"Rep. Al Lawson [D, 2017-2022]",Democrat,,,,,,,
258,7,Yea,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,,,,,,
259,9,Yea,"Rep. Darren Soto [D, 2017-2024]",Democrat,,,,,,,
260,10,Yea,"Rep. Val Demings [D, 2017-2022]",Democrat,,,,,,,
261,13,Yea,"Rep. Charlie Crist [D, 2017-2022]",Democrat,,,,,,,
262,18,Nay,"Rep. Brian Mast [R, 2017-2022]",Republican,,,,,,,
263,3,Nay,"Rep. Drew Ferguson [R, 2017-2024]",Republican,,,,,,,
264,8,Yea,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,,,,,,,
265,3,Nay,"Rep. Jim Banks [R, 2017-2024]",Republican,,,,,,,
266,9,Nay,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,,,,,,,
267,3,Not Voting,"Rep. Clay Higgins [R, 2017-2024]",Republican,,,,,,,
268,4,Nay,"Rep. Mike Johnson [R, 2017-2024]",Republican,,,,,,,
269,4,Not Voting,"Rep. Anthony Brown [D, 2017-2022]",Democrat,,,,,,,
270,8,Yea,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,,,,,,,
271,1,Nay,"Rep. Jack Bergman [R, 2017-2024]",Republican,,,,,,,
272,13,Nay,"Rep. Ted Budd [R, 2017-2022]",Republican,,,,,,,
273,2,Nay,"Rep. Don Bacon [R, 2017-2024]",Republican,,,,,,,
274,5,Yea,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,,,,,,,
275,3,Yea,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,,,,,,,
276,13,Yea,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,,,,,,,
277,22,Nay,"Rep. Claudia Tenney [R, 2021-2022]",Republican,,,,,,,
278,1,Nay,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,,,,,,,
279,11,Nay,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,,,,,,,
280,8,Nay,"Rep. David Kustoff [R, 2017-2024]",Republican,,,,,,,
281,15,Yea,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,,,,,,,
282,19,Nay,"Rep. Jodey Arrington [R, 2017-2024]",Republican,,,,,,,
283,4,Yea,"Rep. Donald McEachin [D, 2017-2022]",Democrat,,,,,,,
284,7,Yea,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,,,,,,,
285,8,Nay,"Rep. Mike Gallagher [R, 2017-2024]",Republican,,,,,,,
286,0,Nay,"Rep. Liz Cheney [R, 2017-2022]",Republican,,,,,,,
287,4,Nay,"Rep. Ron Estes [R, 2017-2024]",Republican,,,,,,,
288,5,Nay,"Rep. Ralph Norman [R, 2017-2024]",Republican,,,,,,,
289,34,Yea,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,,,,,,,
290,3,Nay,"Rep. John Curtis [R, 2017-2024]",Republican,,,,,,,
291,17,Yea,"Rep. Conor Lamb [D, 2019-2022]",Democrat,,,,,,,
292,8,Nay,"Rep. Debbie Lesko [R, 2018-2024]",Republican,,,,,,,
293,27,Nay,"Rep. Michael Cloud [R, 2018-2024]",Republican,,,,,,,
294,12,Nay,"Rep. Troy Balderson [R, 2018-2024]",Republican,,,,,,,
295,1,Nay,"Rep. Kevin Hern [R, 2018-2024]",Republican,,,,,,,
296,25,Yea,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,,,,,,,
297,5,Yea,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,,,,,,,
298,7,Yea,"Rep. Susan Wild [D, 2019-2024]",Democrat,,,,,,,
299,9,Yea,"Rep. Greg Stanton [D, 2019-2022]",Democrat,,,,,,,
300,10,Yea,"Rep. Josh Harder [D, 2019-2022]",Democrat,,,,,,,
301,45,Yea,"Rep. Katie Porter [D, 2019-2022]",Democrat,,,,,,,
302,49,Yea,"Rep. Mike Levin [D, 2019-2024]",Democrat,,,,,,,
303,2,Yea,"Rep. Joe Neguse [D, 2019-2024]",Democrat,,,,,,,
304,6,Yea,"Rep. Jason Crow [D, 2019-2024]",Democrat,,,,,,,
305,5,Yea,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,,,,,,,
306,6,Nay,"Rep. Michael Waltz [R, 2019-2024]",Republican,,,,,,,
307,17,Nay,"Rep. Gregory Steube [R, 2019-2024]",Republican,,,,,,,
308,6,Yea,"Rep. Lucy McBath [D, 2019-2022]",Democrat,,,,,,,
309,3,Yea,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,,,,,,,
310,1,Nay,"Rep. Russ Fulcher [R, 2019-2024]",Republican,,,,,,,
311,4,Yea,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,,,,,,,
312,6,Yea,"Rep. Sean Casten [D, 2019-2024]",Democrat,,,,,,,
313,14,Yea,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,,,,,,,
314,4,Nay,"Rep. James Baird [R, 2019-2024]",Republican,,,,,,,
315,6,Nay,"Rep. Greg Pence [R, 2019-2024]",Republican,,,,,,,
316,3,Yea,"Rep. Sharice Davids [D, 2019-2024]",Democrat,,,,,,,
317,3,Yea,"Rep. Lori Trahan [D, 2019-2024]",Democrat,,,,,,,
318,7,Yea,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,,,,,,,
319,6,Yea,"Rep. David Trone [D, 2019-2024]",Democrat,,,,,,,
320,8,Yea,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,,,,,,,
