id,vote,name,party, and 6.
76,26,Yea,"Rep. Brian Higgins [D, 2013-2024]",Democrat
77,5,Nay,"Rep. Virginia Foxx [R, 2005-2024]",Republican
78,10,Nay,"Rep. Patrick McHenry [R, 2005-2024]",Republican
79,1,Nay,"Rep. Louie Gohmert [R, 2005-2022]",Republican
80,9,Yea,"Rep. Al Green [D, 2005-2024]",Democrat
81,10,Nay,"Rep. Michael McCaul [R, 2005-2024]",Republican
82,28,Yea,"Rep. Henry Cuellar [D, 2005-2024]",Democrat
83,5,Nay,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican
84,4,Yea,"Rep. Gwen Moore [D, 2005-2024]",Democrat
85,6,Yea,"Rep. Doris Matsui [D, 2013-2022]",Democrat
86,7,Yea,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat
87,8,Yea,"Rep. Albio Sires [D, 2013-2022]",Democrat
88,9,Yea,"Rep. Jerry McNerney [D, 2013-2022]",Democrat
89,23,Nay,"Rep. Kevin McCarthy [R, 2013-2022]",Republican
90,5,Nay,"Rep. Doug Lamborn [R, 2007-2024]",Republican
91,7,Yea,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat
92,2,Yea,"Rep. Joe Courtney [D, 2007-2024]",Democrat
93,14,Yea,"Rep. Kathy Castor [D, 2013-2024]",Democrat
94,16,Nay,"Rep. Vern Buchanan [R, 2013-2024]",Republican
95,4,Yea,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat
96,3,Yea,"Rep. John Yarmuth [D, 2007-2022]",Democrat
97,3,Yea,"Rep. John Sarbanes [D, 2007-2024]",Democrat
98,7,Nay,"Rep. Tim Walberg [R, 2011-2022]",Republican
99,3,Nay,"Rep. Adrian Smith [R, 2007-2024]",Republican
100,9,Yea,"Rep. Yvette Clarke [D, 2013-2024]",Democrat
101,4,Nay,"Rep. Jim Jordan [R, 2007-2024]",Republican
102,9,Yea,"Rep. Steve Cohen [D, 2007-2024]",Democrat
103,0,Yea,"Rep. Peter Welch [D, 2007-2022]",Democrat
104,12,Nay,"Rep. Gus Bilirakis [R, 2013-2024]",Republican
105,1,Nay,"Rep. Robert Wittman [R, 2007-2024]",Republican
106,5,Nay,"Rep. Robert Latta [R, 2007-2024]",Republican
107,11,Yea,"Rep. Bill Foster [D, 2013-2024]",Democrat
108,7,Yea,"Rep. André Carson [D, 2008-2024]",Democrat
109,14,Yea,"Rep. Jackie Speier [D, 2013-2022]",Democrat
110,1,Nay,"Rep. Steve Scalise [R, 2008-2024]",Republican
111,11,Yea,"Rep. Gerald Connolly [D, 2009-2024]",Democrat
112,2,Nay,"Rep. Brett Guthrie [R, 2009-2024]",Republican
113,4,Yea,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat
114,2,Yea,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat
115,3,Nay,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican
116,4,Nay,"Rep. Tom McClintock [R, 2009-2022]",Republican
117,1,Yea,"Rep. Chellie Pingree [D, 2009-2024]",Democrat
118,8,Nay,"Rep. Bill Posey [R, 2013-2024]",Republican
119,5,Yea,"Rep. Kurt Schrader [D, 2009-2022]",Democrat
120,15,Nay,"Rep. Glenn Thompson [R, 2019-2024]",Republican
121,1,Yea,"Rep. Dina Titus [D, 2013-2024]",Democrat
122,20,Yea,"Rep. Paul Tonko [D, 2013-2024]",Democrat
123,5,Yea,"Rep. Mike Quigley [D, 2009-2024]",Democrat
124,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat
125,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat
126,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat
127,23,Nay,"Rep. Tom Reed [R, 2013-2022]",Republican
128,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican
129,7,Yea,"Rep. Terri Sewell [D, 2011-2024]",Democrat
130,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican
131,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican
132,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican
133,3,Nay,"Rep. Steve Womack [R, 2011-2024]",Republican
134,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat
135,11,Nay,"Rep. Daniel Webster [R, 2017-2024]",Republican
136,24,Yea,"Rep. Frederica Wilson [D, 2013-2024]",Democrat
137,8,Nay,"Rep. Austin Scott [R, 2011-2024]",Republican
138,16,Nay,"Rep. Adam Kinzinger [R, 2013-2022]",Republican
139,8,Nay,"Rep. Larry Bucshon [R, 2011-2024]",Republican
140,1,Nay,"Rep. Andy Harris [R, 2011-2024]",Republican
141,9,Yea,"Rep. William R. Keating [D, 2013-2024]",Democrat
142,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican
143,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican
144,4,Nay,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
145,7,Nay,"Rep. Billy Long [R, 2011-2022]",Republican
146,6,Nay,"Rep. Bill Johnson [R, 2011-2024]",Republican
147,7,Nay,"Rep. Bob Gibbs [R, 2013-2022]",Republican
148,16,Nay,"Rep. Mike Kelly [R, 2019-2024]",Republican
149,1,Yea,"Rep. David Cicilline [D, 2011-2023]",Democrat
150,3,Nay,"Rep. Jeff Duncan [R, 2011-2024]",Republican
151,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican
152,4,Nay,"Rep. Scott DesJarlais [R, 2011-2024]",Republican
153,9,Nay,"Rep. Morgan Griffith [R, 2011-2024]",Republican
154,3,Nay,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
155,1,Nay,"Rep. David McKinley [R, 2011-2022]",Republican
156,2,Nay,"Rep. Mark Amodei [R, 2011-2024]",Republican
157,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat
158,4,Nay,"Rep. Thomas Massie [R, 2012-2024]",Republican
159,1,Yea,"Rep. Suzan DelBene [D, 2012-2024]",Democrat
160,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat
161,1,Nay,"Rep. Doug LaMalfa [R, 2013-2024]",Republican
162,2,Yea,"Rep. Jared Huffman [D, 2013-2024]",Democrat
163,7,Yea,"Rep. Ami Bera [D, 2013-2022]",Democrat
164,15,Yea,"Rep. Eric Swalwell [D, 2013-2022]",Democrat
165,21,Nay,"Rep. David Valadao [R, 2021-2022]",Republican
166,26,Yea,"Rep. Julia Brownley [D, 2013-2024]",Democrat
167,29,Yea,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat
168,36,Yea,"Rep. Raul Ruiz [D, 2013-2022]",Democrat
169,41,Yea,"Rep. Mark Takano [D, 2013-2022]",Democrat
170,47,Yea,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat
171,51,Yea,"Rep. Juan Vargas [D, 2013-2022]",Democrat
172,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat
173,21,Yea,"Rep. Lois Frankel [D, 2017-2022]",Democrat
174,10,Yea,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat
175,13,Nay,"Rep. Rodney Davis [R, 2013-2022]",Republican
176,17,Yea,"Rep. Cheri Bustos [D, 2013-2022]",Democrat
177,2,Nay,"Rep. Jackie Walorski [R, 2013-2022]",Republican
178,6,Nay,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican
179,5,Yea,"Rep. Daniel Kildee [D, 2013-2022]",Democrat
180,2,Nay,"Rep. Ann Wagner [R, 2013-2024]",Republican
181,8,Nay,"Rep. Richard Hudson [R, 2013-2022]",Republican
182,2,Yea,"Rep. Ann Kuster [D, 2013-2024]",Democrat
183,4,Yea,"Rep. Steven Horsford [D, 2019-2024]",Democrat
184,6,Yea,"Rep. Grace Meng [D, 2013-2024]",Democrat
185,8,Yea,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat
186,18,Yea,"Rep. Sean Maloney [D, 2013-2022]",Democrat
187,2,Nay,"Rep. Brad Wenstrup [R, 2013-2024]",Republican
188,3,Yea,"Rep. Joyce Beatty [D, 2013-2024]",Democrat
189,14,Nay,"Rep. David Joyce [R, 2013-2024]",Republican
190,2,Nay,"Rep. Markwayne Mullin [R, 2013-2022]",Republican
191,10,Nay,"Rep. Scott Perry [R, 2019-2024]",Republican
192,8,Yea,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat
193,7,Nay,"Rep. Tom Rice [R, 2013-2022]",Republican
194,14,Nay,"Rep. Randy Weber [R, 2013-2024]",Republican
195,20,Yea,"Rep. Joaquin Castro [D, 2013-2024]",Democrat
196,25,Nay,"Rep. Roger Williams [R, 2013-2024]",Republican
197,33,Yea,"Rep. Marc Veasey [D, 2013-2024]",Democrat
198,34,Yea,"Rep. Filemon Vela [D, 2013-2022]",Democrat
199,2,Nay,"Rep. Chris Stewart [R, 2013-2023]",Republican
200,6,Yea,"Rep. Derek Kilmer [D, 2013-2024]",Democrat
201,2,Yea,"Rep. Mark Pocan [D, 2013-2024]",Democrat
202,2,Yea,"Rep. Robin Kelly [D, 2013-2024]",Democrat
203,8,Nay,"Rep. Jason Smith [R, 2013-2024]",Republican
204,5,Yea,"Rep. Katherine Clark [D, 2013-2024]",Democrat
205,1,Yea,"Rep. Donald Norcross [D, 2014-2024]",Democrat
206,12,Yea,"Rep. Alma Adams [D, 2014-2024]",Democrat
207,6,Nay,"Rep. Gary Palmer [R, 2015-2024]",Republican
208,2,Nay,"Rep. French Hill [R, 2015-2024]",Republican
209,4,Nay,"Rep. Bruce Westerman [R, 2015-2024]",Republican
210,7,Yea,"Rep. Ruben Gallego [D, 2015-2022]",Democrat
211,11,Yea,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat
212,31,Yea,"Rep. Pete Aguilar [D, 2015-2022]",Democrat
213,33,Yea,"Rep. Ted Lieu [D, 2015-2022]",Democrat
214,35,Yea,"Rep. Norma Torres [D, 2015-2024]",Democrat
215,4,Nay,"Rep. Ken Buck [R, 2015-2024]",Republican
216,1,Nay,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican
217,10,Nay,"Rep. Jody Hice [R, 2015-2022]",Republican
218,11,Nay,"Rep. Barry Loudermilk [R, 2015-2024]",Republican
219,12,Nay,"Rep. Rick Allen [R, 2015-2024]",Republican
220,12,Nay,"Rep. Mike Bost [R, 2015-2024]",Republican
221,6,Nay,"Rep. Garret Graves [R, 2015-2024]",Republican
222,6,Yea,"Rep. Seth Moulton [D, 2015-2024]",Democrat
223,4,Nay,"Rep. John Moolenaar [R, 2015-2022]",Republican
224,12,Yea,"Rep. Debbie Dingell [D, 2015-2022]",Democrat
225,14,Yea,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat
226,6,Nay,"Rep. Tom Emmer [R, 2015-2024]",Republican
227,7,Nay,"Rep. David Rouzer [R, 2015-2024]",Republican
228,12,Yea,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat
229,1,Nay,"Rep. Lee Zeldin [R, 2015-2022]",Republican
230,4,Yea,"Rep. Kathleen Rice [D, 2015-2022]",Democrat
231,21,Nay,"Rep. Elise Stefanik [R, 2015-2024]",Republican
232,24,Yea,"Rep. John Katko [R, 2015-2022]",Republican
233,2,Yea,"Rep. Brendan Boyle [D, 2019-2024]",Democrat
234,36,Nay,"Rep. Brian Babin [R, 2015-2024]",Republican
235,8,Yea,"Rep. Donald Beyer [D, 2015-2024]",Democrat
236,4,Nay,"Rep. Dan Newhouse [R, 2015-2024]",Republican
237,6,Nay,"Rep. Glenn Grothman [R, 2015-2024]",Republican
238,2,Nay,"Rep. Alexander Mooney [R, 2015-2024]",Republican
239,1,Nay,"Rep. Trent Kelly [R, 2015-2024]",Republican
240,18,Nay,"Rep. Darin LaHood [R, 2015-2022]",Republican
241,8,Nay,"Rep. Warren Davidson [R, 2016-2024]",Republican
242,1,Nay,"Rep. James Comer [R, 2016-2024]",Republican
243,3,Yea,"Rep. Dwight Evans [D, 2019-2024]",Democrat
244,1,Yea,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat
245,5,Nay,"Rep. Andy Biggs [R, 2017-2024]",Republican
246,17,Yea,"Rep. Ro Khanna [D, 2017-2024]",Democrat
247,20,Yea,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat
248,24,Yea,"Rep. Salud Carbajal [D, 2017-2024]",Democrat
249,44,Yea,"Rep. Nanette Barragán [D, 2017-2024]",Democrat
250,46,Yea,"Rep. Luis Correa [D, 2017-2024]",Democrat
251,0,Yea,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat
252,1,Nay,"Rep. Matt Gaetz [R, 2017-2024]",Republican
253,2,Nay,"Rep. Neal Dunn [R, 2017-2024]",Republican
254,4,Nay,"Rep. John Rutherford [R, 2017-2022]",Republican
255,5,Yea,"Rep. Al Lawson [D, 2017-2022]",Democrat
256,7,Yea,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat
257,9,Yea,"Rep. Darren Soto [D, 2017-2024]",Democrat
258,10,Yea,"Rep. Val Demings [D, 2017-2022]",Democrat
259,13,Yea,"Rep. Charlie Crist [D, 2017-2022]",Democrat
260,18,Nay,"Rep. Brian Mast [R, 2017-2022]",Republican
261,3,Nay,"Rep. Drew Ferguson [R, 2017-2024]",Republican
262,8,Yea,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat
263,3,Nay,"Rep. Jim Banks [R, 2017-2024]",Republican
264,9,Nay,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican
265,3,Nay,"Rep. Clay Higgins [R, 2017-2024]",Republican
266,4,Nay,"Rep. Mike Johnson [R, 2017-2024]",Republican
267,4,Yea,"Rep. Anthony Brown [D, 2017-2022]",Democrat
268,8,Yea,"Rep. Jamie Raskin [D, 2017-2024]",Democrat
269,1,Nay,"Rep. Jack Bergman [R, 2017-2024]",Republican
270,13,Nay,"Rep. Ted Budd [R, 2017-2022]",Republican
271,2,Nay,"Rep. Don Bacon [R, 2017-2024]",Republican
272,5,Yea,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat
273,3,Yea,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat
274,13,Yea,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat
275,22,Nay,"Rep. Claudia Tenney [R, 2021-2022]",Republican
276,1,Yea,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican
277,11,Nay,"Rep. Lloyd Smucker [R, 2019-2024]",Republican
278,8,Nay,"Rep. David Kustoff [R, 2017-2024]",Republican
279,15,Yea,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat
280,19,Nay,"Rep. Jodey Arrington [R, 2017-2024]",Republican
281,4,Yea,"Rep. Donald McEachin [D, 2017-2022]",Democrat
282,7,Yea,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat
283,8,Nay,"Rep. Mike Gallagher [R, 2017-2024]",Republican
284,0,Nay,"Rep. Liz Cheney [R, 2017-2022]",Republican
285,4,Nay,"Rep. Ron Estes [R, 2017-2024]",Republican
286,5,Nay,"Rep. Ralph Norman [R, 2017-2024]",Republican
287,34,Yea,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat
288,3,Nay,"Rep. John Curtis [R, 2017-2024]",Republican
289,17,Yea,"Rep. Conor Lamb [D, 2019-2022]",Democrat
290,8,Nay,"Rep. Debbie Lesko [R, 2018-2024]",Republican
291,27,Nay,"Rep. Michael Cloud [R, 2018-2024]",Republican
292,12,Nay,"Rep. Troy Balderson [R, 2018-2024]",Republican
293,1,Nay,"Rep. Kevin Hern [R, 2018-2024]",Republican
294,25,Yea,"Rep. Joseph Morelle [D, 2018-2024]",Democrat
295,5,Yea,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat
296,7,Yea,"Rep. Susan Wild [D, 2019-2024]",Democrat
297,9,Yea,"Rep. Greg Stanton [D, 2019-2022]",Democrat
298,10,Yea,"Rep. Josh Harder [D, 2019-2022]",Democrat
299,45,Yea,"Rep. Katie Porter [D, 2019-2022]",Democrat
300,49,Yea,"Rep. Mike Levin [D, 2019-2024]",Democrat
301,2,Yea,"Rep. Joe Neguse [D, 2019-2024]",Democrat
302,6,Yea,"Rep. Jason Crow [D, 2019-2024]",Democrat
303,5,Yea,"Rep. Jahana Hayes [D, 2019-2024]",Democrat
304,6,Nay,"Rep. Michael Waltz [R, 2019-2024]",Republican
305,17,Nay,"Rep. Gregory Steube [R, 2019-2024]",Republican
306,6,Yea,"Rep. Lucy McBath [D, 2019-2022]",Democrat
307,3,Yea,"Rep. Cynthia Axne [D, 2019-2022]",Democrat
308,1,Nay,"Rep. Russ Fulcher [R, 2019-2024]",Republican
309,4,Yea,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat
310,6,Yea,"Rep. Sean Casten [D, 2019-2024]",Democrat
311,14,Yea,"Rep. Lauren Underwood [D, 2019-2024]",Democrat
312,4,Nay,"Rep. James Baird [R, 2019-2024]",Republican
313,6,Nay,"Rep. Greg Pence [R, 2019-2024]",Republican
314,3,Yea,"Rep. Sharice Davids [D, 2019-2024]",Democrat
315,3,Yea,"Rep. Lori Trahan [D, 2019-2024]",Democrat
316,7,Yea,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat
317,6,Yea,"Rep. David Trone [D, 2019-2024]",Democrat
318,8,Yea,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat
319,9,Yea,"Rep. Andy Levin [D, 2019-2022]",Democrat
320,11,Yea,"Rep. Haley Stevens [D, 2019-2024]",Democrat
321,13,Yea,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat
322,1,Nay,"Rep. Jim Hagedorn [R, 2019-2022]",Republican
323,2,Yea,"Rep. Angie Craig [D, 2019-2024]",Democrat
324,3,Yea,"Rep. Dean Phillips [D, 2019-2024]",Democrat
325,5,Yea,"Rep. Ilhan Omar [D, 2019-2024]",Democrat
326,8,Nay,"Rep. Pete Stauber [R, 2019-2024]",Republican
327,3,Nay,"Rep. Michael Guest [R, 2019-2024]",Republican
328,0,Nay,"Rep. Kelly Armstrong [R, 2019-2024]",Republican
329,1,Yea,"Rep. Chris Pappas [D, 2019-2024]",Democrat
330,2,Nay,"Rep. Jefferson Van Drew [R, 2019-2024]",Republican
331,3,Yea,"Rep. Andy Kim [D, 2019-2024]",Democrat
332,7,Yea,"Rep. Tom Malinowski [D, 2019-2022]",Democrat
333,11,Yea,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat
334,3,Yea,"Rep. Susie Lee [D, 2019-2024]",Democrat
335,14,Yea,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat
336,19,Yea,"Rep. Antonio Delgado [D, 2019-2022]",Democrat
337,16,Nay,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican
338,4,Yea,"Rep. Madeleine Dean [D, 2019-2024]",Democrat
339,6,Yea,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat
340,9,Nay,"Rep. Daniel Meuser [R, 2019-2024]",Republican
341,13,Nay,"Rep. John Joyce [R, 2019-2024]",Republican
342,14,Nay,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican
343,4,Nay,"Rep. William Timmons [R, 2019-2024]",Republican
344,0,Nay,"Rep. Dusty Johnson [R, 2019-2024]",Republican
345,2,Nay,"Rep. Tim Burchett [R, 2019-2024]",Republican
346,6,Nay,"Rep. John W. Rose [R, 2019-2024]",Republican
347,7,Nay,"Rep. Mark E. Green [R, 2019-2024]",Republican
348,2,Nay,"Rep. Dan Crenshaw [R, 2019-2024]",Republican
349,3,Nay,"Rep. Van Taylor [R, 2019-2022]",Republican
350,5,Nay,"Rep. Lance Gooden [R, 2019-2024]",Republican
351,7,Yea,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat
352,16,Yea,"Rep. Veronica Escobar [D, 2019-2024]",Democrat
353,21,Nay,"Rep. Chip Roy [R, 2019-2024]",Republican
354,29,Yea,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat
355,32,Yea,"Rep. Colin Allred [D, 2019-2024]",Democrat
356,2,Yea,"Rep. Elaine Luria [D, 2019-2022]",Democrat
357,6,Nay,"Rep. Ben Cline [R, 2019-2024]",Republican
358,7,Yea,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat
359,10,Yea,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat
360,8,Yea,"Rep. Kim Schrier [D, 2019-2024]",Democrat
361,1,Nay,"Rep. Bryan Steil [R, 2019-2024]",Republican
362,3,Nay,"Rep. Carol Miller [R, 2019-2022]",Republican
363,2,Yea,"Rep. Jared Golden [D, 2019-2024]",Democrat
364,12,Nay,"Rep. Fred Keller [R, 2019-2022]",Republican
365,9,Nay,"Rep. Dan Bishop [R, 2019-2022]",Republican
366,3,Not Voting,"Rep. Gregory Murphy [R, 2019-2024]",Republican
367,7,Nay,"Rep. Thomas Tiffany [R, 2020-2024]",Republican
368,25,Nay,"Rep. Mike Garcia [R, 2020-2022]",Republican
369,27,Nay,"Rep. Chris Jacobs [R, 2020-2022]",Republican
370,1,Nay,"Rep. Jerry Carl [R, 2021-2024]",Republican
371,2,Nay,"Rep. Barry Moore [R, 2021-2024]",Republican
372,8,Nay,"Rep. Jay Obernolte [R, 2021-2022]",Republican
373,39,Nay,"Rep. Young Kim [R, 2021-2022]",Republican
374,48,Nay,"Rep. Michelle Steel [R, 2021-2022]",Republican
375,53,Yea,"Rep. Sara Jacobs [D, 2021-2022]",Democrat
376,3,Nay,"Rep. Lauren Boebert [R, 2021-2024]",Republican
377,3,Nay,"Rep. Katherine “Kat” Cammack [R, 2021-2024]",Republican
378,15,Nay,"Rep. Scott Franklin [R, 2021-2022]",Republican
379,19,Nay,"Rep. Byron Donalds [R, 2021-2024]",Republican
380,26,Nay,"Rep. Carlos Gimenez [R, 2021-2022]",Republican
381,27,Not Voting,"Rep. Maria Salazar [R, 2021-2024]",Republican
382,5,Yea,"Rep. Nikema Williams [D, 2021-2024]",Democrat
383,7,Yea,"Rep. Carolyn Bourdeaux [D, 2021-2022]",Democrat
384,9,Nay,"Rep. Andrew Clyde [R, 2021-2024]",Republican
385,14,Nay,"Rep. Marjorie Taylor Greene [R, 2021-2024]",Republican
