id,vote,name,party, Foreign Operations, and Energy and Water Development Appropriations Act, 2020
82,1,Yea,"Rep. Peter Visclosky [D, 1985-2020]",Democrat,,
83,2,Nay,"Rep. Greg Walden [R, 1999-2020]",Republican,,
84,43,Yea,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,
85,2,Nay,"Rep. Joe Wilson [R, 2001-2024]",Republican,,
86,0,Nay,"Rep. Don Young [R, 1973-2022]",Republican,,
87,1,Yea,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,
88,16,Yea,"Rep. Jim Costa [D, 2013-2022]",Democrat,,
89,23,Yea,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,
90,3,Yea,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat,,
91,5,Yea,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,
92,1,Nay,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,,
93,26,Yea,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,
94,5,Nay,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,
95,10,Nay,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,
96,1,Nay,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,
97,9,Yea,"Rep. Al Green [D, 2005-2024]",Democrat,,
98,10,Nay,"Rep. Michael McCaul [R, 2005-2024]",Republican,,
99,11,Nay,"Rep. Michael Conaway [R, 2005-2020]",Republican,,
100,24,Nay,"Rep. Kenny Marchant [R, 2005-2020]",Republican,,
101,28,Yea,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,
102,5,Nay,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,
103,4,Yea,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,
104,6,Yea,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,
105,8,Yea,"Rep. Albio Sires [D, 2013-2022]",Democrat,,
106,9,Yea,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,
107,23,Nay,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,
108,5,Nay,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,
109,7,Yea,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,
110,2,Yea,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,
111,14,Yea,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,
112,16,Nay,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,
113,4,Yea,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,
114,2,Yea,"Rep. David Loebsack [D, 2007-2020]",Democrat,,
115,3,Yea,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,
116,3,Yea,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,
117,7,Nay,"Rep. Tim Walberg [R, 2011-2022]",Republican,,
118,3,Nay,"Rep. Adrian Smith [R, 2007-2024]",Republican,,
119,9,Yea,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,
120,4,Nay,"Rep. Jim Jordan [R, 2007-2024]",Republican,,
121,9,Yea,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,
122,0,Yea,"Rep. Peter Welch [D, 2007-2022]",Democrat,,
123,12,Nay,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,
124,1,Nay,"Rep. Robert Wittman [R, 2007-2024]",Republican,,
125,5,Nay,"Rep. Robert Latta [R, 2007-2024]",Republican,,
126,11,Yea,"Rep. Bill Foster [D, 2013-2024]",Democrat,,
127,7,Yea,"Rep. André Carson [D, 2008-2024]",Democrat,,
128,14,Yea,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,
129,1,Nay,"Rep. Steve Scalise [R, 2008-2024]",Republican,,
130,11,Yea,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,
131,2,Nay,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,
132,4,Yea,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,
133,50,Nay,"Rep. Duncan D. Hunter [R, 2013-2020]",Republican,,
134,2,Yea,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,
135,3,Nay,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,
136,3,Yea,"Rep. Ben Ray Luján [D, 2009-2020]",Democrat,,
137,4,Nay,"Rep. Tom McClintock [R, 2009-2022]",Republican,,
138,22,Nay,"Rep. Pete Olson [R, 2009-2020]",Republican,,
139,1,Yea,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,
140,8,Nay,"Rep. Bill Posey [R, 2013-2024]",Republican,,
141,1,Nay,"Rep. David “Phil” Roe [R, 2009-2020]",Republican,,
142,5,Yea,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,
143,15,Nay,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,
144,1,Yea,"Rep. Dina Titus [D, 2013-2024]",Democrat,,
145,20,Yea,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,
146,11,Yea,"Rep. Marcia Fudge [D, 2008-2021]",Democrat,,
147,5,Yea,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,
148,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat,,
149,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat,,
150,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,
151,14,Nay,"Rep. Tom Graves [R, 2013-2020]",Republican,,
152,23,Nay,"Rep. Tom Reed [R, 2013-2022]",Republican,,
153,2,Nay,"Rep. Martha Roby [R, 2011-2020]",Republican,,
154,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican,,
155,7,Yea,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,
156,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican,,
157,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican,,
158,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,
159,3,Nay,"Rep. Steve Womack [R, 2011-2024]",Republican,,
160,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat,,
161,3,Nay,"Rep. Scott Tipton [R, 2011-2020]",Republican,,
162,11,Nay,"Rep. Daniel Webster [R, 2017-2024]",Republican,,
163,24,Yea,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,
164,7,Nay,"Rep. Rob Woodall [R, 2011-2020]",Republican,,
165,8,Nay,"Rep. Austin Scott [R, 2011-2024]",Republican,,
166,16,Nay,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,
167,8,Nay,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,
168,2,Yea,"Rep. Cedric Richmond [D, 2011-2021]",Democrat,,
169,1,Nay,"Rep. Andy Harris [R, 2011-2024]",Republican,,
170,9,Yea,"Rep. William R. Keating [D, 2013-2024]",Democrat,,
171,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,
172,3,Nay,"Rep. Justin Amash [L, 2011-2020]",Republican,,
173,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,
174,4,Nay,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,
175,7,Nay,"Rep. Billy Long [R, 2011-2022]",Republican,,
176,6,Nay,"Rep. Bill Johnson [R, 2011-2024]",Republican,,
177,15,Nay,"Rep. Steve Stivers [R, 2011-2021]",Republican,,
178,7,Nay,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,
179,16,Nay,"Rep. Mike Kelly [R, 2019-2024]",Republican,,
180,1,Yea,"Rep. David Cicilline [D, 2011-2023]",Democrat,,
181,3,Nay,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,
182,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,
183,4,Nay,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,
184,17,Nay,"Rep. Bill Flores [R, 2011-2020]",Republican,,
185,9,Nay,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,
186,3,Not Voting,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,
187,1,Nay,"Rep. David McKinley [R, 2011-2022]",Republican,,
188,7,Nay,"Rep. Sean Duffy [R, 2011-2019]",Republican,,
189,2,Nay,"Rep. Mark Amodei [R, 2011-2024]",Republican,,
190,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,
191,4,Nay,"Rep. Thomas Massie [R, 2012-2024]",Republican,,
192,1,Yea,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,
193,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,
194,1,Nay,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,
195,2,Yea,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,
196,7,Yea,"Rep. Ami Bera [D, 2013-2022]",Democrat,,
197,8,Nay,"Rep. Paul Cook [R, 2013-2020]",Republican,,
198,15,Yea,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,
199,26,Yea,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,
200,29,Yea,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,
201,36,Yea,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,
202,41,Yea,"Rep. Mark Takano [D, 2013-2022]",Democrat,,
203,47,Yea,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,
204,51,Yea,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,
205,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat,,
206,3,Nay,"Rep. Ted Yoho [R, 2013-2020]",Republican,,
207,21,Yea,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,
208,9,Nay,"Rep. Doug Collins [R, 2013-2020]",Republican,,
209,2,Yea,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat,,
210,10,Yea,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,
211,13,Nay,"Rep. Rodney Davis [R, 2013-2022]",Republican,,
212,17,Yea,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,
213,2,Nay,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,
214,5,Nay,"Rep. Susan Brooks [R, 2013-2020]",Republican,,
215,6,Nay,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,
216,4,Yea,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat,,
217,5,Yea,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,
218,2,Nay,"Rep. Ann Wagner [R, 2013-2024]",Republican,,
219,8,Nay,"Rep. Richard Hudson [R, 2013-2022]",Republican,,
220,11,Nay,"Rep. Mark Meadows [R, 2013-2020]",Republican,,
221,2,Nay,"Rep. George Holding [R, 2017-2020]",Republican,,
222,2,Yea,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,
223,4,Yea,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,
224,6,Yea,"Rep. Grace Meng [D, 2013-2024]",Democrat,,
225,8,Yea,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,
226,18,Yea,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,
227,27,Nay,"Rep. Chris Collins [R, 2013-2019]",Republican,,
228,2,Nay,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,
229,3,Yea,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,
230,14,Nay,"Rep. David Joyce [R, 2013-2024]",Republican,,
231,2,Nay,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,
232,10,Nay,"Rep. Scott Perry [R, 2019-2024]",Republican,,
233,8,Yea,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,
234,7,Nay,"Rep. Tom Rice [R, 2013-2022]",Republican,,
235,14,Nay,"Rep. Randy Weber [R, 2013-2024]",Republican,,
236,20,Yea,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,
237,25,Nay,"Rep. Roger Williams [R, 2013-2024]",Republican,,
238,33,Yea,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,
239,34,Yea,"Rep. Filemon Vela [D, 2013-2022]",Democrat,,
240,2,Nay,"Rep. Chris Stewart [R, 2013-2023]",Republican,,
241,6,Yea,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,
242,10,Nay,"Rep. Denny Heck [D, 2013-2020]",Democrat,,
243,2,Yea,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,
244,2,Yea,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,
245,8,Nay,"Rep. Jason Smith [R, 2013-2024]",Republican,,
246,5,Yea,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,
247,1,Nay,"Rep. Bradley Byrne [R, 2014-2020]",Republican,,
248,1,Yea,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,
249,12,Yea,"Rep. Alma Adams [D, 2014-2024]",Democrat,,
250,6,Nay,"Rep. Gary Palmer [R, 2015-2024]",Republican,,
251,2,Nay,"Rep. French Hill [R, 2015-2024]",Republican,,
252,4,Nay,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,
253,7,Yea,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,
254,11,Yea,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,
255,31,Yea,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,
256,33,Yea,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,
257,35,Yea,"Rep. Norma Torres [D, 2015-2024]",Democrat,,
258,4,Nay,"Rep. Ken Buck [R, 2015-2024]",Republican,,
259,1,Nay,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,
260,10,Nay,"Rep. Jody Hice [R, 2015-2022]",Republican,,
261,11,Nay,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,
262,12,Nay,"Rep. Rick Allen [R, 2015-2024]",Republican,,
263,12,Nay,"Rep. Mike Bost [R, 2015-2024]",Republican,,
264,5,Nay,"Rep. Ralph Abraham [R, 2015-2020]",Republican,,
265,6,Nay,"Rep. Garret Graves [R, 2015-2024]",Republican,,
266,6,Yea,"Rep. Seth Moulton [D, 2015-2024]",Democrat,,
267,4,Nay,"Rep. John Moolenaar [R, 2015-2022]",Republican,,
268,12,Yea,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,,
269,14,Yea,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,,
270,6,Nay,"Rep. Tom Emmer [R, 2015-2024]",Republican,,
271,7,Nay,"Rep. David Rouzer [R, 2015-2024]",Republican,,
272,12,Yea,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,,
273,1,Nay,"Rep. Lee Zeldin [R, 2015-2022]",Republican,,
274,4,Yea,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,,
275,21,Nay,"Rep. Elise Stefanik [R, 2015-2024]",Republican,,
276,24,Nay,"Rep. John Katko [R, 2015-2022]",Republican,,
277,2,Yea,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,,
278,4,Nay,"Rep. John Ratcliffe [R, 2015-2020]",Republican,,
279,23,Nay,"Rep. Will Hurd [R, 2015-2020]",Republican,,
280,36,Nay,"Rep. Brian Babin [R, 2015-2024]",Republican,,
281,8,Yea,"Rep. Donald Beyer [D, 2015-2024]",Democrat,,
282,4,Nay,"Rep. Dan Newhouse [R, 2015-2024]",Republican,,
283,6,Nay,"Rep. Glenn Grothman [R, 2015-2024]",Republican,,
284,2,Nay,"Rep. Alexander Mooney [R, 2015-2024]",Republican,,
285,6,Nay,"Rep. Mark Walker [R, 2015-2020]",Republican,,
286,1,Nay,"Rep. Trent Kelly [R, 2015-2024]",Republican,,
287,18,Nay,"Rep. Darin LaHood [R, 2015-2022]",Republican,,
288,8,Nay,"Rep. Warren Davidson [R, 2016-2024]",Republican,,
289,1,Nay,"Rep. James Comer [R, 2016-2024]",Republican,,
290,3,Yea,"Rep. Dwight Evans [D, 2019-2024]",Democrat,,
291,1,Yea,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,,
292,5,Nay,"Rep. Andy Biggs [R, 2017-2024]",Republican,,
293,17,Yea,"Rep. Ro Khanna [D, 2017-2024]",Democrat,,
294,20,Yea,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat,,
295,24,Yea,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,,
296,44,Yea,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,,
297,46,Yea,"Rep. Luis Correa [D, 2017-2024]",Democrat,,
298,0,Yea,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,,
299,1,Nay,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,
300,2,Nay,"Rep. Neal Dunn [R, 2017-2024]",Republican,,
301,4,Nay,"Rep. John Rutherford [R, 2017-2022]",Republican,,
302,5,Yea,"Rep. Al Lawson [D, 2017-2022]",Democrat,,
303,7,Yea,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,
304,9,Yea,"Rep. Darren Soto [D, 2017-2024]",Democrat,,
305,10,Yea,"Rep. Val Demings [D, 2017-2022]",Democrat,,
306,13,Yea,"Rep. Charlie Crist [D, 2017-2022]",Democrat,,
307,18,Nay,"Rep. Brian Mast [R, 2017-2022]",Republican,,
308,19,Nay,"Rep. Francis Rooney [R, 2017-2020]",Republican,,
309,3,Nay,"Rep. Drew Ferguson [R, 2017-2024]",Republican,,
310,8,Yea,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,,
311,3,Nay,"Rep. Jim Banks [R, 2017-2024]",Republican,,
312,9,Nay,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,,
313,1,Nay,"Rep. Roger Marshall [R, 2017-2020]",Republican,,
314,3,Nay,"Rep. Clay Higgins [R, 2017-2024]",Republican,,
315,4,Nay,"Rep. Mike Johnson [R, 2017-2024]",Republican,,
316,4,Yea,"Rep. Anthony Brown [D, 2017-2022]",Democrat,,
317,8,Yea,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,,
318,1,Nay,"Rep. Jack Bergman [R, 2017-2024]",Republican,,
319,10,Nay,"Rep. Paul Mitchell [I, 2017-2020]",Republican,,
320,13,Nay,"Rep. Ted Budd [R, 2017-2022]",Republican,,
321,2,Nay,"Rep. Don Bacon [R, 2017-2024]",Republican,,
322,5,Yea,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,,
323,3,Yea,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,,
324,13,Yea,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,,
325,1,Nay,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,,
326,11,Nay,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,,
327,8,Nay,"Rep. David Kustoff [R, 2017-2024]",Republican,,
328,15,Yea,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,,
329,19,Nay,"Rep. Jodey Arrington [R, 2017-2024]",Republican,,
330,4,Yea,"Rep. Donald McEachin [D, 2017-2022]",Democrat,,
331,7,Yea,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,,
332,8,Nay,"Rep. Mike Gallagher [R, 2017-2024]",Republican,,
333,0,Nay,"Rep. Liz Cheney [R, 2017-2022]",Republican,,
334,4,Nay,"Rep. Ron Estes [R, 2017-2024]",Republican,,
335,0,Nay,"Rep. Greg Gianforte [R, 2017-2020]",Republican,,
336,5,Nay,"Rep. Ralph Norman [R, 2017-2024]",Republican,,
337,34,Yea,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,,
338,3,Not Voting,"Rep. John Curtis [R, 2017-2024]",Republican,,
339,17,Yea,"Rep. Conor Lamb [D, 2019-2022]",Democrat,,
340,8,Nay,"Rep. Debbie Lesko [R, 2018-2024]",Republican,,
341,27,Nay,"Rep. Michael Cloud [R, 2018-2024]",Republican,,
342,12,Nay,"Rep. Troy Balderson [R, 2018-2024]",Republican,,
343,1,Nay,"Rep. Kevin Hern [R, 2018-2024]",Republican,,
344,25,Yea,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,,
345,5,Yea,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,,
346,7,Yea,"Rep. Susan Wild [D, 2019-2024]",Democrat,,
347,9,Yea,"Rep. Greg Stanton [D, 2019-2022]",Democrat,,
348,10,Yea,"Rep. Josh Harder [D, 2019-2022]",Democrat,,
349,21,Yea,"Rep. TJ Cox [D, 2019-2020]",Democrat,,
350,25,Yea,"Rep. Katie Hill [D, 2019-2019]",Democrat,,
351,39,Yea,"Rep. Gilbert Cisneros [D, 2019-2020]",Democrat,,
352,45,Yea,"Rep. Katie Porter [D, 2019-2022]",Democrat,,
353,48,Yea,"Rep. Harley Rouda [D, 2019-2020]",Democrat,,
354,49,Yea,"Rep. Mike Levin [D, 2019-2024]",Democrat,,
355,2,Yea,"Rep. Joe Neguse [D, 2019-2024]",Democrat,,
356,6,Yea,"Rep. Jason Crow [D, 2019-2024]",Democrat,,
357,5,Yea,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,,
358,6,Nay,"Rep. Michael Waltz [R, 2019-2024]",Republican,,
359,15,Nay,"Rep. Ross Spano [R, 2019-2020]",Republican,,
360,17,Nay,"Rep. Gregory Steube [R, 2019-2024]",Republican,,
361,26,Yea,"Rep. Debbie Mucarsel-Powell [D, 2019-2020]",Democrat,,
362,27,Yea,"Rep. Donna Shalala [D, 2019-2020]",Democrat,,
363,6,Yea,"Rep. Lucy McBath [D, 2019-2022]",Democrat,,
364,1,Yea,"Rep. Abby Finkenauer [D, 2019-2020]",Democrat,,
